shipment_id,pharma_class_id,product_name,weight_kg,origin_id,destination_id,distance_km,primary_transport_mode,transit_duration_hours,num_handovers,max_ambient_temp_c_expected,min_ambient_temp_c_expected,season,geopolitical_risk_score,carrier_reliability_score,packaging_type_used,packaging_autonomy_hours,temperature_excursion
SHP-00001,crt,Ibuprofen 400mg,284.2,doha_port,los_angeles,13392.5,sea,557.0,3,30.5,24.1,Summer,3.92,0.901,active,212.0,0
SHP-00002,crt,Aspirin 500mg,63.3,sydney,mumbai,10143.0,sea,456.6,2,30.9,24.7,Summer,6.41,0.731,active,180.7,1
SHP-00003,crt,Atorvastatin 20mg,33.5,dubai_airport,frankfurt_airport,4843.9,rail,61.7,1,5.0,-5.1,Winter,1.97,0.862,active,191.5,0
SHP-00004,cool,Trastuzumab (Herceptin),127.5,singapore,cologne_airport,10366.4,sea,452.8,1,3.9,-7.6,Winter,3.32,0.894,active,151.1,0
SHP-00005,cool,Adalimumab (Humira),940.6,doha_airport,dubai_airport,377.7,road,5.4,0,12.4,6.3,Winter,0.69,0.782,passive,55.0,0
SHP-00006,cool,Adalimumab (Humira),33.3,rotterdam,hong_kong,9345.9,rail,130.3,1,31.2,24.9,Autumn,5.65,0.785,active,178.4,0
SHP-00007,cool,Insulin Glargine,229.9,hong_kong,doha_airport,6310.2,rail,88.6,1,31.1,24.9,Summer,3.08,0.857,active,155.1,0
SHP-00008,frozen,Frozen Biologic RX-8,1138.3,schiphol,singapore,10509.7,sea,420.7,1,33.8,22.2,Summer,1.25,0.925,active,189.7,1
SHP-00009,crt,Atorvastatin 20mg,110.7,houston,shanghai,12227.7,sea,529.2,2,12.7,5.1,Winter,2.98,0.729,active,159.8,0
SHP-00010,crt,Aspirin 500mg,16.3,doha_port,shanghai,6847.0,sea,314.9,1,22.4,10.6,Spring,4.89,0.779,active,172.9,0
SHP-00011,crt,Omeprazole 20mg,62.6,doha_airport,singapore,6195.0,rail,82.8,1,30.1,20.1,Spring,0.0,0.924,active,197.1,0
SHP-00012,cool,Adalimumab (Humira),85.7,hong_kong,mumbai,4287.8,sea,238.1,2,33.3,22.3,Summer,5.62,0.67,active,123.3,0
SHP-00013,crt,Ibuprofen 400mg,678.8,port_klang,new_york,15138.5,sea,636.3,1,1.6,-6.8,Winter,4.87,0.823,active,208.9,0
SHP-00014,cool,Insulin Glargine,54.6,schiphol,hamburg,370.1,road,4.5,1,20.4,12.4,Spring,2.67,0.99,passive,69.5,1
SHP-00015,cool,Insulin Glargine,198.9,hamburg,marseille,1184.4,road,22.4,0,21.3,11.3,Autumn,4.8,0.904,passive,63.6,0
SHP-00016,crt,Paracetamol 1g,590.3,hong_kong,los_angeles,11671.9,sea,505.7,3,14.6,5.6,Winter,1.17,0.774,active,200.6,1
SHP-00017,frozen,Frozen Biologic RX-8,143.3,mumbai,new_york,12565.8,sea,616.3,1,20.1,12.8,Spring,9.68,0.718,active,181.5,1
SHP-00018,crt,Paracetamol 1g,134.0,doha_port,singapore,6189.6,sea,312.7,1,29.1,21.5,Spring,2.6,0.734,active,181.9,0
SHP-00019,cool,Influenza Vaccine,316.3,hamburg,mumbai,6554.0,sea,311.6,2,30.3,19.8,Autumn,7.12,0.773,active,148.8,0
SHP-00020,frozen,Zoster Vaccine (Shingrix),101.2,new_york,bangkok,13948.1,sea,612.1,2,27.1,17.0,Winter,7.5,0.714,active,198.5,0
SHP-00021,crt,Amoxicillin 500mg,2000.0,rotterdam,jfk_airport,5815.6,sea,259.2,1,23.9,13.3,Summer,3.32,0.826,active,152.2,0
SHP-00022,crt,Amoxicillin 500mg,84.1,le_havre,doha_airport,5153.7,sea,236.4,3,12.0,1.6,Winter,0.51,0.813,active,151.8,0
SHP-00023,crt,Amoxicillin 500mg,33.9,frankfurt_airport,marseille,787.9,road,16.1,1,17.6,7.6,Autumn,2.57,0.963,passive,62.7,0
SHP-00024,crt,Amoxicillin 500mg,94.9,shanghai,hamburg,8615.4,rail,115.5,2,15.0,7.0,Spring,5.9,0.886,active,148.6,1
SHP-00025,crt,Paracetamol 1g,79.6,hong_kong,mumbai,4287.8,sea,247.4,1,32.0,22.3,Spring,6.02,0.766,active,220.9,0
SHP-00026,cool,Trastuzumab (Herceptin),716.5,doha_port,hong_kong,6317.8,sea,351.4,1,33.9,26.0,Summer,4.31,0.811,active,129.5,1
SHP-00027,frozen,Oncology Prep KX-7,630.6,rotterdam,singapore,10563.9,sea,417.4,3,31.1,20.7,Winter,1.45,0.873,active,166.4,0
SHP-00028,cool,Influenza Vaccine,166.2,schiphol,hong_kong,9283.8,sea,392.7,1,33.7,27.4,Summer,3.55,0.86,active,174.1,0
SHP-00029,cool,Insulin Glargine,503.1,busan,madrid,10326.0,sea,488.8,3,21.2,14.5,Autumn,3.49,0.934,active,176.5,1
SHP-00030,crt,Amoxicillin 500mg,97.9,hamburg,port_klang,9833.1,rail,139.8,2,29.8,23.3,Autumn,3.35,0.878,active,234.9,1
SHP-00031,crt,Amoxicillin 500mg,1348.4,port_klang,busan,4572.9,sea,266.4,2,20.7,12.7,Autumn,0.62,0.799,active,182.9,0
SHP-00032,cool,Bevacizumab (Avastin),204.2,doha_airport,hong_kong,6310.2,rail,91.0,1,33.0,21.2,Autumn,4.69,0.851,active,125.9,0
SHP-00033,crt,Amoxicillin 500mg,10.0,frankfurt_airport,cologne_airport,136.3,road,2.0,0,22.3,10.8,Autumn,0.19,0.928,passive,56.1,0
SHP-00034,cool,Adalimumab (Humira),109.4,hamburg,doha_airport,4656.8,sea,221.7,2,13.0,3.4,Winter,1.1,0.818,active,126.1,1
SHP-00035,cool,Insulin Glargine,10.0,mumbai,singapore,3896.2,sea,232.2,3,28.3,20.0,Winter,4.58,0.792,active,186.3,1
SHP-00036,crt,Paracetamol 1g,509.9,rotterdam,memphis,7269.0,sea,317.1,1,28.3,16.6,Spring,2.97,0.867,active,187.3,0
SHP-00037,crt,Atorvastatin 20mg,47.1,cologne_airport,houston,8286.7,sea,296.0,3,17.6,9.8,Autumn,1.66,0.99,active,184.4,0
SHP-00038,crt,Aspirin 500mg,171.5,antwerp,shanghai,9061.4,sea,426.9,2,18.4,9.1,Autumn,4.32,0.823,active,172.6,0
SHP-00039,frozen,Varicella Vaccine,2000.0,marseille,doha_port,4679.0,sea,228.4,2,26.4,17.5,Summer,5.18,0.778,active,139.2,1
SHP-00040,crt,Ibuprofen 400mg,426.7,port_klang,frankfurt_airport,9948.6,sea,419.5,1,8.1,-3.8,Spring,4.61,0.752,active,222.9,0
SHP-00041,crt,Omeprazole 20mg,31.8,hamburg,le_havre,812.9,road,11.2,1,1.7,-7.3,Winter,1.85,0.882,passive,67.2,0
SHP-00042,crt,Metformin 850mg,125.7,antwerp,memphis,7321.8,sea,341.9,1,17.2,9.0,Spring,1.64,0.99,active,179.4,0
SHP-00043,crt,Metformin 850mg,295.9,marseille,le_havre,767.6,road,17.4,0,4.3,-2.3,Winter,4.29,0.757,passive,53.8,0
SHP-00044,cool,Insulin Glargine,78.6,hamburg,dubai_port,4890.8,sea,212.6,1,18.7,8.8,Spring,2.91,0.99,active,178.9,0
SHP-00045,cool,Hepatitis B Vaccine,75.5,hong_kong,shanghai,1213.8,road,22.9,0,30.2,21.2,Summer,5.74,0.77,passive,48.2,0
SHP-00046,crt,Aspirin 500mg,176.4,madrid,frankfurt_airport,1434.1,road,24.4,0,20.1,11.6,Autumn,0.75,0.87,passive,68.8,0
SHP-00047,crt,Aspirin 500mg,20.4,los_angeles,jfk_airport,3971.9,rail,57.9,2,10.7,-0.4,Spring,1.14,0.922,active,214.7,0
